market,mode,variant_id,period,removed_rule,rules_removed_count,rejected_resumptions,hypothetically_eligible,signals_executed,diagnostic_only
FUTURES,SHORT,EXTENSION_2_0,DEVELOPMENT,regime_matched,1,5,0,0,True
FUTURES,SHORT,EXTENSION_2_0,DEVELOPMENT,pullback_depth_min,1,5,0,0,True
FUTURES,SHORT,EXTENSION_2_0,DEVELOPMENT,trend_persistence,1,5,0,0,True
FUTURES,SHORT,NO_MINIMUM_DEPTH,DEVELOPMENT,volume_valid,1,4,0,0,True
FUTURES,SHORT,NO_MINIMUM_DEPTH,DEVELOPMENT,volatility_valid,1,4,0,0,True
FUTURES,SHORT,NO_MINIMUM_DEPTH,DEVELOPMENT,entry_extension_valid,1,4,1,0,True
FUTURES,SHORT,NO_MINIMUM_DEPTH,DEVELOPMENT,directional_close_confirmation,1,4,0,0,True
FUTURES,SHORT,NO_MINIMUM_DEPTH,DEVELOPMENT,regime_matched,1,4,0,0,True
FUTURES,SHORT,NO_MINIMUM_DEPTH,DEVELOPMENT,pullback_depth_min,1,4,0,0,True
FUTURES,SHORT,NO_MINIMUM_DEPTH,DEVELOPMENT,trend_persistence,1,4,0,0,True
FUTURES,SHORT,VOLUME_RELAXED,DEVELOPMENT,volume_valid,1,3,0,0,True
FUTURES,SHORT,VOLUME_RELAXED,DEVELOPMENT,volatility_valid,1,3,0,0,True
FUTURES,SHORT,VOLUME_RELAXED,DEVELOPMENT,entry_extension_valid,1,3,0,0,True
FUTURES,SHORT,VOLUME_RELAXED,DEVELOPMENT,directional_close_confirmation,1,3,0,0,True
FUTURES,SHORT,VOLUME_RELAXED,DEVELOPMENT,regime_matched,1,3,0,0,True
FUTURES,SHORT,VOLUME_RELAXED,DEVELOPMENT,pullback_depth_min,1,3,0,0,True
FUTURES,SHORT,VOLUME_RELAXED,DEVELOPMENT,trend_persistence,1,3,0,0,True
FUTURES,SHORT,VOLATILITY_RELAXED,DEVELOPMENT,volume_valid,1,3,0,0,True
FUTURES,SHORT,VOLATILITY_RELAXED,DEVELOPMENT,volatility_valid,1,3,0,0,True
FUTURES,SHORT,VOLATILITY_RELAXED,DEVELOPMENT,entry_extension_valid,1,3,0,0,True
FUTURES,SHORT,VOLATILITY_RELAXED,DEVELOPMENT,directional_close_confirmation,1,3,0,0,True
FUTURES,SHORT,VOLATILITY_RELAXED,DEVELOPMENT,regime_matched,1,3,0,0,True
FUTURES,SHORT,VOLATILITY_RELAXED,DEVELOPMENT,pullback_depth_min,1,3,0,0,True
FUTURES,SHORT,VOLATILITY_RELAXED,DEVELOPMENT,trend_persistence,1,3,0,0,True
FUTURES,SHORT,PERSISTENCE_2,DEVELOPMENT,volume_valid,1,4,0,0,True
FUTURES,SHORT,PERSISTENCE_2,DEVELOPMENT,volatility_valid,1,4,0,0,True
FUTURES,SHORT,PERSISTENCE_2,DEVELOPMENT,entry_extension_valid,1,4,0,0,True
FUTURES,SHORT,PERSISTENCE_2,DEVELOPMENT,directional_close_confirmation,1,4,0,0,True
FUTURES,SHORT,PERSISTENCE_2,DEVELOPMENT,regime_matched,1,4,0,0,True
FUTURES,SHORT,PERSISTENCE_2,DEVELOPMENT,pullback_depth_min,1,4,0,0,True
FUTURES,SHORT,PERSISTENCE_2,DEVELOPMENT,trend_persistence,1,4,0,0,True
FUTURES,SHORT,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,volume_valid,1,3,0,0,True
FUTURES,SHORT,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,volatility_valid,1,3,0,0,True
FUTURES,SHORT,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,entry_extension_valid,1,3,0,0,True
FUTURES,SHORT,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,directional_close_confirmation,1,3,0,0,True
FUTURES,SHORT,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,regime_matched,1,3,0,0,True
FUTURES,SHORT,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,pullback_depth_min,1,3,0,0,True
FUTURES,SHORT,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,trend_persistence,1,3,0,0,True
FUTURES,LONG_SHORT,CALIBRATION_BASE,DEVELOPMENT,volume_valid,1,1,0,0,True
FUTURES,LONG_SHORT,CALIBRATION_BASE,DEVELOPMENT,volatility_valid,1,1,0,0,True
FUTURES,LONG_SHORT,CALIBRATION_BASE,DEVELOPMENT,entry_extension_valid,1,1,0,0,True
FUTURES,LONG_SHORT,CALIBRATION_BASE,DEVELOPMENT,directional_close_confirmation,1,1,0,0,True
FUTURES,LONG_SHORT,CALIBRATION_BASE,DEVELOPMENT,regime_matched,1,1,0,0,True
FUTURES,LONG_SHORT,CALIBRATION_BASE,DEVELOPMENT,pullback_depth_min,1,1,0,0,True
FUTURES,LONG_SHORT,CALIBRATION_BASE,DEVELOPMENT,trend_persistence,1,1,0,0,True
FUTURES,LONG_SHORT,EXTENSION_1_5,DEVELOPMENT,volume_valid,1,4,3,0,True
FUTURES,LONG_SHORT,EXTENSION_1_5,DEVELOPMENT,volatility_valid,1,4,0,0,True
FUTURES,LONG_SHORT,EXTENSION_1_5,DEVELOPMENT,entry_extension_valid,1,4,0,0,True
FUTURES,LONG_SHORT,EXTENSION_1_5,DEVELOPMENT,directional_close_confirmation,1,4,0,0,True
FUTURES,LONG_SHORT,EXTENSION_1_5,DEVELOPMENT,regime_matched,1,4,0,0,True
FUTURES,LONG_SHORT,EXTENSION_1_5,DEVELOPMENT,pullback_depth_min,1,4,0,0,True
FUTURES,LONG_SHORT,EXTENSION_1_5,DEVELOPMENT,trend_persistence,1,4,0,0,True
FUTURES,LONG_SHORT,EXTENSION_2_0,DEVELOPMENT,volume_valid,1,7,6,0,True
FUTURES,LONG_SHORT,EXTENSION_2_0,DEVELOPMENT,volatility_valid,1,7,0,0,True
FUTURES,LONG_SHORT,EXTENSION_2_0,DEVELOPMENT,entry_extension_valid,1,7,0,0,True
FUTURES,LONG_SHORT,EXTENSION_2_0,DEVELOPMENT,directional_close_confirmation,1,7,0,0,True
FUTURES,LONG_SHORT,EXTENSION_2_0,DEVELOPMENT,regime_matched,1,7,0,0,True
FUTURES,LONG_SHORT,EXTENSION_2_0,DEVELOPMENT,pullback_depth_min,1,7,0,0,True
FUTURES,LONG_SHORT,EXTENSION_2_0,DEVELOPMENT,trend_persistence,1,7,0,0,True
FUTURES,LONG_SHORT,NO_MINIMUM_DEPTH,DEVELOPMENT,volume_valid,1,1,0,0,True
FUTURES,LONG_SHORT,NO_MINIMUM_DEPTH,DEVELOPMENT,volatility_valid,1,1,0,0,True
FUTURES,LONG_SHORT,NO_MINIMUM_DEPTH,DEVELOPMENT,entry_extension_valid,1,1,0,0,True
FUTURES,LONG_SHORT,NO_MINIMUM_DEPTH,DEVELOPMENT,directional_close_confirmation,1,1,0,0,True
FUTURES,LONG_SHORT,NO_MINIMUM_DEPTH,DEVELOPMENT,regime_matched,1,1,0,0,True
FUTURES,LONG_SHORT,NO_MINIMUM_DEPTH,DEVELOPMENT,pullback_depth_min,1,1,0,0,True
